category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol,vintage
White,Chile,Falernia 2015 Reserva Viognier (Elqui Valley),Viognier,10,750 ml,86,Falernia,"Melon and tropical fruit aromas are restrained. This Elqui Viognier feels plump but also a bit dilute in the middle, with a mildly tannic sense of grape skins. Melon and citrus flavors are good, while this feels a bit yeasty and plump on the finish.",13%,2015
White,Chile,Montes 2015 Classic Series Chardonnay (Curic Valley),Chardonnay,13,750 ml,86,Montes,"Dusty oily aromas of citrus peel, almond and yeasty white fruits come with a hint of oak. This Chardonnay feels solid and balanced, but regular. A mix of oak spice, vanilla and briny peach flavors do a slow soft fade on the finish.",13.50%,2015
Red,US,Roberts & Rogers 2013 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,100,750 ml,86,Roberts & Rogers,"This wine is thick and caramelized, a highly ripe expression of a warm, tannic vintage that shows no letting up on the palate. Black licorice and char season juicy blackberry and a taste of muddled chocolate.",15.40%,2013
White,Germany,Schmitt Shne 2015 Riesling (Rheinhessen),Riesling,9,750 ml,86,Schmitt Shne,"Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.",9%,2015
White,Spain,Spyro 2014 Albario (Ras Baixas),Albario,16,750 ml,86,Spyro,"Bland, mature aromas of white fruits are on the weak side for Albario. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.",12.50%,2014
Red,US,Bonair 2013 Cabernet Sauvignon (Yakima Valley),Cabernet Sauvignon,13,750 ml,86,Bonair,"The aromas start out barrel forward, with notes of vanilla and wood spice followed by dried cherry and herb. The flavors are extremely sweet, seeming slightly dried out.",13.90%,2013
Red,US,Drumheller 2014 Cabernet Sauvignon (Columbia Valley (OR)),Cabernet Sauvignon,12,750 ml,86,Drumheller,"Aromas of milk chocolate, herb, plum and cherry are followed by a palate full of cherry and chocolate flavors that persist on the finish. The tannins bring astringency that provides some distraction.",14.50%,2014
Red,US,Lawer 2014 Betsy's Vineyard Estate Syrah (Knights Valley),Syrah,32,750 ml,86,Lawer,"Robust in red berry and vanilla, this wine is big-boned and ripe, with a tartness under lying the fruit and a moderate structure.",14.70%,2014
White,France,Maison Charles Pre et Fils 2015 Mcon-Villages,Chardonnay,30,750 ml,86,Maison Charles Pre et Fils,"Hints of tropical fruit and white peach give this wine a warm, rounded character. It's smooth, with just a shot of acidity and a creamy, spicy texture. Drink now.",13%,2015
White,France,Simonnet-Febvre 2015 Chablis,Chardonnay,24,750 ml,86,Simonnet-Febvre,"From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",12.50%,2015
White,Chile,Apaltagua 2016 Reserva Unoaked Chardonnay (Casablanca Valley),Chardonnay,13,750 ml,86,Apaltagua,"This unoaked Chardonnay is neutral on the nose except for mild notes of pickle brine and melon. Racy and zesty in feel, this tastes of briny citrus fruits mixed with green notes that match the nose. In some ways, this is comparable to Sauvignon Blanc.",13.50%,2016
Red,US,Cocobon 2014 Red (California),Red Blend,12,750 ml,86,Cocobon,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",13.50%,2014
Red,US,Summers 2014 Two Acre Villa Andriana Vineyard Estate Zinfandel (Calistoga),Zinfandel,45,750 ml,86,Summers,"This is a smoky, earthy wine that's fully ripe and flush in juicy fruit. Cherry, blackberry and grilled mushrooms find cinnamon and cola flavors as a tart finish builds on the palate.",14.20%,2014
Red,US,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,100,750 ml,86,Okapi,"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",15.20%,2013
Red,Chile,Santa Alicia 2016 Reserva Estate Bottled Malbec (Maipo Valley),Malbec,10,750 ml,86,Santa Alicia,"Earthy cherry and berry aromas include a blackened note akin to asphalt. This feels fresh and wiry, with pointy acidity. Salty chippy red-fruit flavors end with pedestrian berry notes and a lasting dash of salt.",13.50%,2016
Red,US,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,46,750 ml,86,Basel Cellars,"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",15.29%,2013
White,France,Bernard et Christophe Richel 2016 Domaine la Combelle Apremont Jacqure (Vin de Savoie),Jacqure,17,750 ml,86,Bernard et Christophe Richel,"This single vineyard wine has delicious white fruit and lime flavors. Tangy with acidity and a touch of crisp minerality, it's ready for summer drinking.",12%,2016
Red,Italy,Cantine Astroni 2015 Colle Rotondella Piedirosso (Campi Flegrei),Piedirosso,30,750 ml,86,Cantine Astroni,"Fruity aromas of black-skinned fruit and a whiff of damp earth lead the nose on this simple red while the easygoing palate doles out juicy plum, fleshy blackberry and a hint of brown pepper. It's easy drinking, with soft supple tannins. Drink now.",12%,2015
White,Portugal,Quinta da Lagoalva de Cima 2016 Lagoalva Sauvignon Blanc (Tejo),Sauvignon Blanc,15,750 ml,86,Quinta da Lagoalva de Cima,"This wine goes for the tropical fruit approach to Sauvignon Blanc. Fruity with peach and mango flavors, it is tangy with orange zest and textured with minerality. The wine is ready to drink.",12.50%,2016
Red,Portugal,Quinta da Lapa 2014 Selection Red (Tejo),Portuguese Red,10,750 ml,86,Quinta da Lapa,"The Lapa vineyards are away from the Tagus (Tejo) river giving better structured soil and therefore firmer wines. That shows in this ripe wine with its tannins and bold fruits. It is attractively fruity, with a dry core. The wine is ready to drink.",13.50%,2014
Red,Italy,Rontana 2013 Sangiovese (Colli di Faenza),Sangiovese,14,750 ml,86,Rontana,"This opens with delicate aromas of black-skinned berry and scorched soil. The simple palate shows prune, clove and a whiff of baking spice alongside round tannins. Drink soon.",12.50%,2013
White,US,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,26,750 ml,86,Sevtap,"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",14.40%,2015
Red,US,TruthTeller 2014 Satire Red (Yakima Valley),Bordeaux-style Red Blend,35,750 ml,86,TruthTeller,"Merlot (44%) and Cabernet Franc (30%) make up the majority of this wine, with the balance Cabernet Sauvignon, Malbec and Petit Verdot. Aromas of baking spice and blue fruit are followed by cocoa powder and blue fruit flavors. It comes off as quite dry.",14.80%,2014
White,US,Viszlay Vineyards 2012 The 809 Estate Chardonnay (Russian River Valley),Chardonnay,48,750 ml,86,Viszlay Vineyards,"Cloudy in color and intense in acidity, this estate wine shows a richness of apple, pear and anise, cradled in oak, that finishes tartly.",14%,2012
Red,US,Summers 2014 Two Acre Villa Andriana Vineyard Estate Zinfandel (Calistoga),Zinfandel,45,750 ml,86,Summers,"This is a smoky, earthy wine that's fully ripe and flush in juicy fruit. Cherry, blackberry and grilled mushrooms find cinnamon and cola flavors as a tart finish builds on the palate.",14.20%,2014
White,Chile,Apaltagua 2016 Reserva Unoaked Chardonnay (Casablanca Valley),Chardonnay,13,750 ml,86,Apaltagua,"This unoaked Chardonnay is neutral on the nose except for mild notes of pickle brine and melon. Racy and zesty in feel, this tastes of briny citrus fruits mixed with green notes that match the nose. In some ways, this is comparable to Sauvignon Blanc.",13.50%,2016
Red,US,Cocobon 2014 Red (California),Red Blend,12,750 ml,86,Cocobon,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",13.50%,2014
Red,US,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,100,750 ml,86,Okapi,"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",15.20%,2013
Red,Chile,Santa Alicia 2016 Reserva Estate Bottled Malbec (Maipo Valley),Malbec,10,750 ml,86,Santa Alicia,"Earthy cherry and berry aromas include a blackened note akin to asphalt. This feels fresh and wiry, with pointy acidity. Salty chippy red-fruit flavors end with pedestrian berry notes and a lasting dash of salt.",13.50%,2016
Red,Italy,Lungarotti 2012 Rubesco Red (Torgiano),Red Blend,30,750 ml,86,Lungarotti,"A blend of 90% Sangiovese and 10% Colorino, this informal red has subdued aromas suggesting of dark-berry, violet and a hint of kitchen spice. The light-bodied simple palate shows black cherry, dried plum alongside soft tannins.",13.50%,2012
Rose,Australia,Mitolo 2016 Jester Sangiovese Ros (McLaren Vale),Ros,20,750 ml,86,Mitolo,"Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.",12.50%,2016
Rose,Spain,Ochoa 2016 Calendas Garnacha Rosado (Navarra),Rosado,12,750 ml,86,Ochoa,"Clean nectarine and red plum aromas open this quaffable Garnacha ros. Lightly salty stone-fruit flavors are pushed by bright acidity, which is about all that remains on a racy but mostly tasteless finish.",13%,2016
Red,Portugal,Parras Wines 2015 Castelo do Sulco Reserva Red (Lisboa),Portuguese Red,10,750 ml,86,Parras Wines,"On the western side of the Lisboa region, this vineyard occupies a beautiful protected valley. The wine is made in an immediately accessible style with bright red fruits and light tannins. It is fruity, ready to drink now.",13.50%,2015
Red,US,Argot 2013 Hawk Hill Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,60,750 ml,86,Argot,"Reduced initially, this wine shows a feral herbal side, a sign of its cool-climate sourcing, which provides a funky personality. Mushroom, clove and a thickness of earth all make a play to be center of attention.",14.60%,2013
White,Portugal,Conde Villar 2015 Alvarinho (Minho),Alvarinho,17,750 ml,86,Conde Villar,"This is Alvarinho from the southern part of the Minho region, close to Oporto. It has lemon fruit and a smooth texture, giving a rich wine. It could age a little longer, so wait until 2018.",13.50%,2015
Red,Chile,Cono Sur 2015 Bicicleta Merlot (Central Valley),Merlot,12,750 ml,86,Cono Sur,"Generic red-fruit aromas set up a solid palate. This tastes of roasted plum and berry fruits, while a straightforward finish is grabby in feel and tastes the slightest bit herbal and green.",14%,2015
Red,Chile,De Martino 2016 Gallarda Cinsault (Itata Valley),Cinsault,20,750 ml,86,De Martino,"Bright red-fruit aromas of currant and raspberry open this Itata Valley Cinsault. In the mouth, this feels wiry and shearing due to high acidity. Tart as well as buttery flavors of red plum and raspberry finish quick and salty.",13%,2016
White,Germany,Fritz Windisch 2014 GAu-Bischofsheimer Herrnberg Kerner Auslese Riesling (Rheinhessen),Riesling,16,750 ml,86,Fritz Windisch,"Voluptuous and broad, this richly textured auslese suggests soft yellow apples and fleshy tangerines. It's a bit fat on the palate, but sunny acidity lends some freshness on the midpalate. Drink now.",10%,2014
Rose,Australia,Yalumba 2016 The Y Series Sangiovese Ros (South Australia),Ros,13,750 ml,86,Yalumba,"This medium-bodied wine boasts aromas reminiscent of trading-card bubble gum. Is that even still a thing? It's vaguely cherry-like, with hints of baby powder, yet completely dry and refreshing, with a crisp, clean finish. Drink now.",12%,2016
White,Australia,Yeringberg 2014 Chardonnay (Yarra Valley),Chardonnay,35,750 ml,86,Yeringberg,"Scents of singed orange peel, roasted nuts and lemon curd are promising, but are followed up by rather crisp, ungenerous lemon flavors. There's a silky textural element on the palate and a long finish, so it may yet come around.",12.50%,2014
White,US,Columbia Crest 2015 Grand Estates Unoaked Chardonnay (Columbia Valley (WA)),Chardonnay,12,750 ml,86,Columbia Crest,Light aromas of apple and pear lead to broad dry flavors. It delivers easy-drinking appeal.,13.50%,2015
White,US,Cupcake 2015 Chardonnay (Monterey County),Chardonnay,12,750 ml,86,Cupcake,"Prominent oak aromas meet with baked apples and toasted cashew on the nose of this widely available bottling. There is solid acidity at the tip of the sip, but then the sweet oaky elements take hold, adding hints of smoke to the candied lemon flavors.",13.50%,2015
Rose,France,Domaine Terre de Mistral 2016 Mireille Ros (Mediterrane),Ros,16,750 ml,86,Domaine Terre de Mistral,"This estate obviously believes in experiments, presenting here an apritif-style blend of Syrah and Muscat. It's not hard to taste the strongly perfumed Muscat character, which dominates the palate. Ripe with more spice than fruit, it's ready to drink.",13.50%,2016
White,France,La Chablisienne 2014 Dame Nature (Petit Chablis),Chardonnay,20,750 ml,86,La Chablisienne,"Made from organically grown grapes, this wine is ripe and fruity. It's developing well, lending a nutty character to its otherwise crisp fruit. It's packed with the bright acidity of the vintage. Drink now.",12.50%,2014
Red,US,Layer Cake 2015 Pinot Noir (Central Coast),Pinot Noir,16,750 ml,86,Layer Cake,Warm cherry pie and hibiscus notes meet with candied vanilla and cream soda elements on the nose of this bottling. The palate is rounded with red fruit and a clay minerality in the background.,14.50%,2015
